time,elapsed_seconds,message
12:41:01,3.04e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,8.82e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.18e-05,commencing check of parameter bounds
12:41:01,1.98e-05,limiting out of bounds pars
12:41:01,3.9e-05,change limit/bound enforement for lambda 0.1: lower bound,BROOKS, scaling factor: 0.0691364
12:41:01,1.22e-05,checking for denormal floating point values
12:41:01,1.19e-05,transforming upgrade pars to model pars
12:41:01,1.64e-05,writing upgrade vector to csv file
12:41:01,0.0005319,beginning upgrade vector calculations, lambda = 1
12:41:01,0.0001298,commencing calculation of upgrade vector
12:41:01,0.0006231,forming JtQJ matrix
12:41:01,0.0001051,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.03e-05,starting REDSVD
12:41:01,6.06e-05,retrieving REDSVD components
12:41:01,2.13e-05,triming REDSVD components to 10elements
12:41:01,1.78e-05,done REDSVD
12:41:01,3.32e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.21e-05,JS
12:41:01,3.22e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,8.84e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.02e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1.21e-05,starting REDSVD
12:41:01,6.46e-05,retrieving REDSVD components
12:41:01,1.71e-05,triming REDSVD components to 6elements
12:41:01,2.94e-05,done REDSVD
12:41:01,2.31e-05,SVD factorization complete
12:41:01,0.0002136,commencing linear algebra multiplication to compute ugrade
12:41:01,1.91e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 6: cols = 11: size = 66: nonzeros = 66
12:41:01,1.41e-05,U info: rows = 11: cols = 6: size = 66: nonzeros = 66
12:41:01,1.53e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,8.3e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.11e-05,commencing check of parameter bounds and gradients
12:41:01,1.97e-05,commencing calculation of upgrade vector
12:41:01,0.0005315,forming JtQJ matrix
12:41:01,6.83e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.18e-05,starting REDSVD
12:41:01,8.91e-05,retrieving REDSVD components
12:41:01,2.12e-05,triming REDSVD components to 10elements
12:41:01,3.4e-05,done REDSVD
12:41:01,5.14e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.49e-05,JS
12:41:01,5.49e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,9.27e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.81e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,2.85e-05,starting REDSVD
12:41:01,8.29e-05,retrieving REDSVD components
12:41:01,4.56e-05,triming REDSVD components to 6elements
12:41:01,1.63e-05,done REDSVD
12:41:01,1.06e-05,SVD factorization complete
12:41:01,0.0002271,commencing linear algebra multiplication to compute ugrade
12:41:01,3.48e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 6: cols = 11: size = 66: nonzeros = 66
12:41:01,2.76e-05,U info: rows = 11: cols = 6: size = 66: nonzeros = 66
12:41:01,2.78e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,9.31e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.85e-05,commencing check of parameter bounds
12:41:01,1.57e-05,limiting out of bounds pars
12:41:01,3.14e-05,change limit/bound enforement for lambda 1: lower bound,BROOKS, scaling factor: 0.0689358
12:41:01,1.07e-05,checking for denormal floating point values
12:41:01,6.77e-05,transforming upgrade pars to model pars
12:41:01,1.71e-05,writing upgrade vector to csv file
12:41:01,0.0006133,beginning upgrade vector calculations, lambda = 10
12:41:01,0.0001081,commencing calculation of upgrade vector
12:41:01,0.0006464,forming JtQJ matrix
12:41:01,8.49e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.48e-05,starting REDSVD
12:41:01,6.86e-05,retrieving REDSVD components
12:41:01,2.4e-05,triming REDSVD components to 10elements
12:41:01,2.14e-05,done REDSVD
12:41:01,3.99e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.19e-05,JS
12:41:01,3.03e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,7.97e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.28e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1.04e-05,starting REDSVD
12:41:01,6.87e-05,retrieving REDSVD components
12:41:01,2.21e-05,triming REDSVD components to 7elements
12:41:01,3.57e-05,done REDSVD
12:41:01,2.59e-05,SVD factorization complete
12:41:01,0.0002861,commencing linear algebra multiplication to compute ugrade
12:41:01,1.67e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 7: cols = 11: size = 77: nonzeros = 77
12:41:01,1.48e-05,U info: rows = 11: cols = 7: size = 77: nonzeros = 77
12:41:01,1.37e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,7.8e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.74e-05,commencing check of parameter bounds and gradients
12:41:01,2.79e-05,commencing calculation of upgrade vector
12:41:01,0.0006276,forming JtQJ matrix
12:41:01,8.19e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.33e-05,starting REDSVD
12:41:01,6.03e-05,retrieving REDSVD components
12:41:01,0.0001989,triming REDSVD components to 10elements
12:41:01,4.49e-05,done REDSVD
12:41:01,7.82e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.48e-05,JS
12:41:01,3.82e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,6.04e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.1e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,2.08e-05,starting REDSVD
12:41:01,5.86e-05,retrieving REDSVD components
12:41:01,3.49e-05,triming REDSVD components to 7elements
12:41:01,9.5e-06,done REDSVD
12:41:01,6.4e-06,SVD factorization complete
12:41:01,0.0001448,commencing linear algebra multiplication to compute ugrade
12:41:01,8.9e-06,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 7: cols = 11: size = 77: nonzeros = 77
12:41:01,8e-06,U info: rows = 11: cols = 7: size = 77: nonzeros = 77
12:41:01,8e-06,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,6.4e-05,linear algebra multiplication to compute ugrade complete
12:41:01,1.98e-05,commencing check of parameter bounds
12:41:01,1.01e-05,limiting out of bounds pars
12:41:01,2.31e-05,change limit/bound enforement for lambda 10: lower bound,BROOKS, scaling factor: 0.0679787
12:41:01,6.6e-06,checking for denormal floating point values
12:41:01,7.5e-06,transforming upgrade pars to model pars
12:41:01,7.7e-06,writing upgrade vector to csv file
12:41:01,0.0003674,beginning upgrade vector calculations, lambda = 100
12:41:01,0.0003116,commencing calculation of upgrade vector
12:41:01,0.0006239,forming JtQJ matrix
12:41:01,7.12e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.07e-05,starting REDSVD
12:41:01,6e-05,retrieving REDSVD components
12:41:01,2.3e-05,triming REDSVD components to 10elements
12:41:01,1.71e-05,done REDSVD
12:41:01,3.26e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,9.5e-06,JS
12:41:01,2.79e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,6.78e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,1.51e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1e-05,starting REDSVD
12:41:01,5.94e-05,retrieving REDSVD components
12:41:01,2.01e-05,triming REDSVD components to 8elements
12:41:01,8.42e-05,done REDSVD
12:41:01,3.05e-05,SVD factorization complete
12:41:01,0.0001652,commencing linear algebra multiplication to compute ugrade
12:41:01,1.12e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 8: cols = 11: size = 88: nonzeros = 88
12:41:01,8.5e-06,U info: rows = 11: cols = 8: size = 88: nonzeros = 88
12:41:01,8.5e-06,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,5.99e-05,linear algebra multiplication to compute ugrade complete
12:41:01,3.77e-05,commencing check of parameter bounds and gradients
12:41:01,1.37e-05,commencing calculation of upgrade vector
12:41:01,0.0003678,forming JtQJ matrix
12:41:01,5.39e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,1.1e-05,starting REDSVD
12:41:01,4.1e-05,retrieving REDSVD components
12:41:01,1.77e-05,triming REDSVD components to 10elements
12:41:01,2.58e-05,done REDSVD
12:41:01,3.43e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.01e-05,JS
12:41:01,3.16e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,5.79e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.18e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1.96e-05,starting REDSVD
12:41:01,5.78e-05,retrieving REDSVD components
12:41:01,4.01e-05,triming REDSVD components to 8elements
12:41:01,1.02e-05,done REDSVD
12:41:01,9.8e-06,SVD factorization complete
12:41:01,0.0001691,commencing linear algebra multiplication to compute ugrade
12:41:01,1.78e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 8: cols = 11: size = 88: nonzeros = 88
12:41:01,1.1e-05,U info: rows = 11: cols = 8: size = 88: nonzeros = 88
12:41:01,1.25e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,9.64e-05,linear algebra multiplication to compute ugrade complete
12:41:01,0.000236,commencing check of parameter bounds
12:41:01,4.8e-05,limiting out of bounds pars
12:41:01,4.24e-05,change limit/bound enforement for lambda 100: lower bound,BROOKS, scaling factor: 0.0721571
12:41:01,1e-05,checking for denormal floating point values
12:41:01,1.19e-05,transforming upgrade pars to model pars
12:41:01,1.13e-05,writing upgrade vector to csv file
12:41:01,0.0004085,beginning upgrade vector calculations, lambda = 1000
12:41:01,0.0001235,commencing calculation of upgrade vector
12:41:01,0.0004019,forming JtQJ matrix
12:41:01,4.59e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,7.5e-06,starting REDSVD
12:41:01,5.62e-05,retrieving REDSVD components
12:41:01,1.42e-05,triming REDSVD components to 10elements
12:41:01,1.12e-05,done REDSVD
12:41:01,2.1e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,6.3e-06,JS
12:41:01,1.81e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,5.04e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,9.9e-06,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,6.2e-06,starting REDSVD
12:41:01,4.54e-05,retrieving REDSVD components
12:41:01,1.14e-05,triming REDSVD components to 9elements
12:41:01,2.41e-05,done REDSVD
12:41:01,2.02e-05,SVD factorization complete
12:41:01,0.0001713,commencing linear algebra multiplication to compute ugrade
12:41:01,8.7e-06,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 9: cols = 11: size = 99: nonzeros = 99
12:41:01,8.4e-06,U info: rows = 11: cols = 9: size = 99: nonzeros = 99
12:41:01,8e-06,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,5.36e-05,linear algebra multiplication to compute ugrade complete
12:41:01,1.86e-05,commencing check of parameter bounds and gradients
12:41:01,1.08e-05,commencing calculation of upgrade vector
12:41:01,0.0003319,forming JtQJ matrix
12:41:01,4.28e-05,commencing to scale JtQJ matrix- first SVD...
12:41:01,8.4e-06,starting REDSVD
12:41:01,3.63e-05,retrieving REDSVD components
12:41:01,1.24e-05,triming REDSVD components to 10elements
12:41:01,2.37e-05,done REDSVD
12:41:01,3.58e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.18e-05,JS
12:41:01,3.08e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:41:01,5.78e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:41:01,2.08e-05,commencing SVD factorization of lambda-scaled JtQJ
12:41:01,1.95e-05,starting REDSVD
12:41:01,5.8e-05,retrieving REDSVD components
12:41:01,3.23e-05,triming REDSVD components to 9elements
12:41:01,1.02e-05,done REDSVD
12:41:01,7.1e-06,SVD factorization complete
12:41:01,0.0002387,commencing linear algebra multiplication to compute ugrade
12:41:01,2.98e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 9: cols = 11: size = 99: nonzeros = 99
12:41:01,2.86e-05,U info: rows = 11: cols = 9: size = 99: nonzeros = 99
12:41:01,2.7e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:41:01,7.75e-05,linear algebra multiplication to compute ugrade complete
12:41:01,1.92e-05,commencing check of parameter bounds
12:41:01,8.7e-06,limiting out of bounds pars
12:41:01,2.32e-05,change limit/bound enforement for lambda 1000: upper bound,AIRDIFF, scaling factor: 0.112756
12:41:01,6.6e-06,checking for denormal floating point values
12:41:01,7.9e-06,transforming upgrade pars to model pars
12:41:01,7.9e-06,writing upgrade vector to csv file
12:41:01,0.0009916,LinearAnalysis::glm_iter_fosm
12:41:01,8.82e-05,starting FOSM uncertainty analyses for iteration 0
12:41:01,0.0024849,loading obscov
12:41:01,4.64e-05,loading parcov
12:41:01,3.75e-05,setting predictions
12:41:01,8.6e-06,set_predictions
12:41:01,6.07e-05,extracting prediction MOD_OBS0_4 from jacobian
12:41:01,0.0004806,extracting prediction MOD_OBS0_5 from jacobian
12:41:01,0.0003778,extracting prediction MOD_OBS1_3 from jacobian
12:41:01,0.000355,extracting prediction MOD_OBS1_4 from jacobian
12:41:01,0.000359,extracting prediction MOD_OBS1_5 from jacobian
12:41:01,0.0003517,extracting prediction MOD_OBS1_6 from jacobian
12:41:01,0.0003465,extracting prediction MOD_OBS1_7 from jacobian
12:41:01,0.0003215,extracting prediction MOD_OBS2_3 from jacobian
12:41:01,0.0003486,extracting prediction MOD_OBS2_4 from jacobian
12:41:01,0.0003301,extracting prediction MOD_OBS2_5 from jacobian
12:41:01,0.0003248,extracting prediction MOD_OBS2_6 from jacobian
12:41:01,0.0003147,extracting prediction MOD_OBS2_7 from jacobian
12:41:01,0.0003049,extracting prediction MOD_OBS3_3 from jacobian
12:41:01,0.0002848,extracting prediction MOD_OBS3_4 from jacobian
12:41:01,0.0002891,extracting prediction MOD_OBS3_5 from jacobian
12:41:01,0.0003088,extracting prediction MOD_OBS3_6 from jacobian
12:41:01,0.0003337,extracting prediction MOD_OBS3_7 from jacobian
12:41:01,0.0003195,extracting prediction MOD_OBS4_3 from jacobian
12:41:01,0.0002951,extracting prediction MOD_OBS4_4 from jacobian
12:41:01,0.0002918,extracting prediction MOD_OBS4_5 from jacobian
12:41:01,0.0002925,extracting prediction MOD_OBS4_6 from jacobian
12:41:01,0.0002846,extracting prediction MOD_OBS4_7 from jacobian
12:41:01,0.0002867,extracting prediction MOD_OBS5_3 from jacobian
12:41:01,0.0002733,extracting prediction MOD_OBS5_4 from jacobian
12:41:01,0.0002738,extracting prediction MOD_OBS5_5 from jacobian
12:41:01,0.0002652,extracting prediction MOD_OBS5_6 from jacobian
12:41:01,0.0002506,extracting prediction MOD_OBS5_7 from jacobian
12:41:01,0.0002683,extracting prediction MOD_OBS6_3 from jacobian
12:41:01,0.0002717,extracting prediction MOD_OBS6_4 from jacobian
12:41:01,0.0002566,extracting prediction MOD_OBS6_5 from jacobian
12:41:01,0.000268,extracting prediction MOD_OBS6_6 from jacobian
12:41:01,0.0002707,extracting prediction MOD_OBS6_7 from jacobian
12:41:01,0.0002788,extracting prediction MOD_OBS7_3 from jacobian
12:41:01,0.0002762,extracting prediction MOD_OBS7_4 from jacobian
12:41:01,0.0003478,extracting prediction MOD_OBS7_5 from jacobian
12:41:01,0.0004061,extracting prediction MOD_OBS7_6 from jacobian
12:41:01,0.0002912,extracting prediction MOD_OBS7_7 from jacobian
12:41:01,0.0002692,extracting prediction MOD_OBS8_3 from jacobian
12:41:01,0.0002094,extracting prediction MOD_OBS8_4 from jacobian
12:41:01,0.0001716,extracting prediction MOD_OBS8_5 from jacobian
12:41:01,0.0001708,extracting prediction MOD_OBS8_6 from jacobian
12:41:01,0.0001952,extracting prediction MOD_OBS8_7 from jacobian
12:41:01,0.0001752,extracting prediction MOD_OBS9_3 from jacobian
12:41:01,0.0001694,extracting prediction MOD_OBS9_4 from jacobian
12:41:01,0.000159,extracting prediction MOD_OBS9_5 from jacobian
12:41:01,0.0001534,extracting prediction MOD_OBS9_6 from jacobian
12:41:01,0.0001496,extracting prediction MOD_OBS9_7 from jacobian
12:41:01,0.0001493,extracting prediction MOD_OBS10_3 from jacobian
12:41:01,0.0001627,extracting prediction MOD_OBS10_4 from jacobian
12:41:01,0.0001804,extracting prediction MOD_OBS10_5 from jacobian
12:41:01,0.0001569,extracting prediction MOD_OBS10_6 from jacobian
12:41:01,0.0001531,extracting prediction MOD_OBS10_7 from jacobian
12:41:01,0.0001501,extracting prediction MOD_OBS11_3 from jacobian
12:41:01,0.0001488,extracting prediction MOD_OBS11_4 from jacobian
12:41:01,0.0001485,extracting prediction MOD_OBS11_5 from jacobian
12:41:01,0.0001606,extracting prediction MOD_OBS11_6 from jacobian
12:41:01,0.0001465,extracting prediction MOD_OBS11_7 from jacobian
12:41:01,0.0001743,extracting prediction MOD_OBS12_6 from jacobian
12:41:01,0.0001738,extracting prediction MOD_OBS13_6 from jacobian
12:41:01,0.0001384,extracting prediction MOD_OBS14_6 from jacobian
12:41:01,0.0001478,parameter fosm calcs
12:41:01,1.23e-05,LinearAnalysis::calc_posterior
12:41:01,7.3e-06,LinearAnalysis::align
12:41:01,0.0001631,LinearAnalysis::prior_prediction_variance()::invert obscov
12:41:01,9.4e-06,inverting diagonal matrix in place
12:41:01,2.42e-05,LinearAnalysis::calc_posterior() form JtQJ
12:41:01,6.37e-05,LinearAnalysis::calc_posterior() invert prior parcov
12:41:01,2.69e-05,LinearAnalysis::calc_posterior() form posterior parcov
12:41:01,2.67e-05,LinearAnalysis::calc_posterior() invert posterior parcov
12:41:01,6.5e-06,inverting non-diagonal matrix in place
12:41:01,0.0028947,forecast FOSM calcs
12:41:01,0.0005634,LinearAnalysis::prior_prediction_variance
12:41:01,0.0003266,LinearAnalysis::prior_prediction_variance
12:42:00,59.7843,completed iteration 1
12:42:00,0.0118172,beginning iteration 2
12:42:00,0.0001604,commencing to build jacobian parameter sets
12:42:00,0.0164173,jacobian parameter sets built, commencing model runs
12:43:07,66.1954,jacobian runs complete, processing runs
12:43:07,0.0006557,processing jacobian runs complete
12:43:07,1.75e-05,saving jacobian and sen files
12:43:07,0.0022198,commencing calculation of upgrade vector
12:43:07,0.0005655,forming JtQJ matrix
12:43:07,0.0001027,commencing to scale JtQJ matrix- first SVD...
12:43:07,1.96e-05,starting REDSVD
12:43:07,7.92e-05,retrieving REDSVD components
12:43:07,5.13e-05,triming REDSVD components to 10elements
12:43:07,3.33e-05,done REDSVD
12:43:07,4.24e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:43:07,9.6e-06,JS
12:43:07,3.49e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:07,6.62e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11
12:43:07,9.8e-06,commencing SVD factorization of lambda-scaled JtQJ
12:43:07,1.28e-05,starting REDSVD
12:43:07,5.53e-05,retrieving REDSVD components
12:43:07,1.73e-05,triming REDSVD components to 5elements
12:43:07,5e-05,done REDSVD
12:43:07,9.7e-06,SVD factorization complete
12:43:07,0.0002245,commencing linear algebra multiplication to compute ugrade
12:43:07,1.71e-05,S info: rows = 11: cols = 11: size = 121: nonzeros = 11Vt info: rows = 5: cols = 11: size = 55: nonzeros = 55
12:43:07,1.47e-05,U info: rows = 11: cols = 5: size = 55: nonzeros = 55
12:43:07,1.23e-05,jac info: rows = 66: cols = 11: size = 726: nonzeros = 721
12:43:07,0.0001453,linear algebra multiplication to compute ugrade complete
12:43:07,2.96e-05,commencing check of parameter bounds and gradients
12:43:07,0.0020511,beginning upgrade vector calculations, lambda = 0.1
12:43:07,0.0016824,commencing calculation of upgrade vector
12:43:07,0.0011033,forming JtQJ matrix
12:43:07,0.0001016,commencing to scale JtQJ matrix- first SVD...
12:43:07,1.22e-05,starting REDSVD
12:43:07,7.75e-05,retrieving REDSVD components
12:43:07,2.42e-05,triming REDSVD components to 10elements
12:43:07,1.94e-05,done REDSVD
12:43:07,3.68e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
12:43:07,1.07e-05,JS
12:43:07,3.09e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:07,7.54e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
12:43:07,1.43e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:07,1.04e-05,starting REDSVD
12:43:07,6.23e-05,retrieving REDSVD components
12:43:07,2.64e-05,triming REDSVD components to 6elements
12:43:07,1.81e-05,done REDSVD
12:43:07,1.3e-05,SVD factorization complete
12:43:07,0.0002664,commencing linear algebra multiplication to compute ugrade
12:43:07,1.53e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10Vt info: rows = 6: cols = 10: size = 60: nonzeros = 60
12:43:07,1.43e-05,U info: rows = 10: cols = 6: size = 60: nonzeros = 60
12:43:07,1.42e-05,jac info: rows = 66: cols = 10: size = 660: nonzeros = 655
12:43:07,9.15e-05,linear algebra multiplication to compute ugrade complete
12:43:07,3.23e-05,commencing check of parameter bounds and gradients
12:43:07,4.09e-05,commencing calculation of upgrade vector
12:43:07,0.0007427,forming JtQJ matrix
12:43:07,6.69e-05,commencing to scale JtQJ matrix- first SVD...
12:43:07,1.41e-05,starting REDSVD
12:43:07,5.51e-05,retrieving REDSVD components
12:43:07,2.28e-05,triming REDSVD components to 10elements
12:43:07,1.9e-05,done REDSVD
12:43:07,3.52e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
12:43:07,1.12e-05,JS
12:43:07,2.86e-05,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
12:43:07,6.93e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10
12:43:07,1.15e-05,commencing SVD factorization of lambda-scaled JtQJ
12:43:07,1.33e-05,starting REDSVD
12:43:07,4.93e-05,retrieving REDSVD components
12:43:07,1.89e-05,triming REDSVD components to 6elements
12:43:07,1.43e-05,done REDSVD
12:43:07,1e-05,SVD factorization complete
12:43:07,0.000216,commencing linear algebra multiplication to compute ugrade
12:43:07,2.47e-05,S info: rows = 10: cols = 10: size = 100: nonzeros = 10Vt info: rows = 6: cols = 10: size = 60: nonzeros = 60
12:43:07,1.41e-05,U info: rows = 10: cols = 6: size = 60: nonzeros = 60
